Game,Name,Variant,Class,Gender,HM Bonus,SecondClass,ThirdClass,char_base_stats_Lv,char_base_stats_HP,char_base_stats_S/M,char_base_stats_Skl,char_base_stats_Spd,char_base_stats_Lck,char_base_stats_Def,char_base_stats_Res,char_base_stats_Con,char_base_stats_Mov,char_growth_rates_HP,char_growth_rates_S/M,char_growth_rates_Skl,char_growth_rates_Spd,char_growth_rates_Lck,char_growth_rates_Def,char_growth_rates_Res,second_class_promo_gains_HP,second_class_promo_gains_S/M,second_class_promo_gains_Skl,second_class_promo_gains_Spd,second_class_promo_gains_Def,second_class_promo_gains_Res,second_class_promo_gains_Con,second_class_promo_gains_Mov,third_class_promo_gains_HP,third_class_promo_gains_S/M,third_class_promo_gains_Skl,third_class_promo_gains_Spd,third_class_promo_gains_Def,third_class_promo_gains_Res,third_class_promo_gains_Con,third_class_promo_gains_Mov,class_growth_rates_HP,class_growth_rates_S/M,class_growth_rates_Skl,class_growth_rates_Spd,class_growth_rates_Def,class_growth_rates_Res,class_growth_rates_Lck,class_max_stats_S/M,class_max_stats_Skl,class_max_stats_Spd,class_max_stats_Def,class_max_stats_Res,class_max_stats_Con,class_max_stats_HP,class_max_stats_Lck,class_max_stats_Mov,second_class_growth_rates_HP,second_class_growth_rates_S/M,second_class_growth_rates_Skl,second_class_growth_rates_Spd,second_class_growth_rates_Def,second_class_growth_rates_Res,second_class_growth_rates_Lck,second_class_max_stats_S/M,second_class_max_stats_Skl,second_class_max_stats_Spd,second_class_max_stats_Def,second_class_max_stats_Res,second_class_max_stats_Con,second_class_max_stats_HP,second_class_max_stats_Lck,second_class_max_stats_Mov,third_class_growth_rates_HP,third_class_growth_rates_S/M,third_class_growth_rates_Skl,third_class_growth_rates_Spd,third_class_growth_rates_Def,third_class_growth_rates_Res,third_class_growth_rates_Lck,third_class_max_stats_S/M,third_class_max_stats_Skl,third_class_max_stats_Spd,third_class_max_stats_Def,third_class_max_stats_Res,third_class_max_stats_Con,third_class_max_stats_HP,third_class_max_stats_Lck,third_class_max_stats_Mov,char_growth_rates_adjusted_HP,char_growth_rates_adjusted_S/M,char_growth_rates_adjusted_Skl,char_growth_rates_adjusted_Spd,char_growth_rates_adjusted_Lck,char_growth_rates_adjusted_Def,char_growth_rates_adjusted_Res
FE6,Sophia,All,Shaman,F,0,Druid,N/A,1.0,15.0,6.0,2.0,4.0,3.0,1.0,8.0,3.0,5.0,60.0,55.0,40.0,30.0,20.0,20.0,55.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,50.0,45.0,32.0,30.0,10.0,37.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,55.0,30.0,25.0,10.0,27.0,20.0,29.0,24.0,26.0,20.0,29.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,61.334811289190405,56.22357701509121,40.8898741927936,30.667405644595203,20.4449370963968,20.4449370963968,56.22357701509121
FE6,Igrene,All,Sniper,F,0,N/A,N/A,1.0,32.0,16.0,18.0,15.0,9.0,11.0,10.0,7.0,6.0,70.0,35.0,25.0,35.0,20.0,10.0,5.0,,,,,,,,,,,,,,,,,65.0,30.0,30.0,20.0,15.0,15.0,30.0,23.0,30.0,29.0,21.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.84754956122937,37.423774780614686,26.731267700439066,37.423774780614686,21.38501416035125,10.692507080175625,5.346253540087813
FE6,Garret,All,Berserker,M,11,N/A,N/A,1.0,49.0,17.0,13.0,10.0,12.0,9.0,4.0,13.0,6.0,70.0,45.0,25.0,25.0,15.0,15.0,5.0,,,,,,,,,,,,,,,,,58.0,35.0,25.0,12.0,10.0,10.0,15.0,30.0,24.0,28.0,22.0,24.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.743368153801,48.04930809887208,26.69406005492893,26.69406005492893,16.01643603295736,16.01643603295736,5.338812010985787
FE6,Fae,All,Manakete,F,0,N/A,N/A,1.0,16.0,2.0,2.0,3.0,7.0,2.0,6.0,1.0,5.0,130.0,90.0,85.0,65.0,150.0,30.0,50.0,,,,,,,,,,,,,,,,,95.0,40.0,30.0,20.0,0.0,10.0,25.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,90.0,85.0,65.0,150.0,30.0,50.0
FE6,Zeiss,All,Wyvern Rider,M,11,Wyvern Lord,N/A,7.0,28.0,14.0,9.0,8.0,6.0,12.0,2.0,10.0,7.0,80.0,60.0,50.0,35.0,20.0,25.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,80.0,45.0,35.0,30.0,25.0,10.0,25.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,75.0,40.0,30.0,20.0,20.0,7.0,20.0,26.0,26.0,23.0,30.0,22.0,21.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,81.203170592,60.902377943999994,50.751981619999995,35.526387134,20.300792648,25.375990809999998,5.075198162
FE6,Douglas,All,General,M,0,N/A,N/A,8.0,46.0,19.0,13.0,8.0,11.0,20.0,5.0,17.0,5.0,60.0,30.0,30.0,30.0,20.0,30.0,5.0,,,,,,,,,,,,,,,,,75.0,30.0,25.0,10.0,23.0,15.0,20.0,27.0,25.0,21.0,30.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6990799095296,32.3495399547648,32.3495399547648,32.3495399547648,21.5663599698432,32.3495399547648,5.3915899924608
FE6,Niime,All,Druid,F,0,N/A,N/A,18.0,25.0,21.0,20.0,16.0,15.0,5.0,18.0,4.0,6.0,25.0,15.0,15.0,15.0,5.0,15.0,20.0,,,,,,,,,,,,,,,,,45.0,55.0,30.0,25.0,10.0,27.0,20.0,29.0,24.0,26.0,20.0,29.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.65189335212979,20.79113601127787,20.79113601127787,20.79113601127787,6.930378670425958,20.79113601127787,27.72151468170383
FE6,Dayan,All,Nomadic Trooper,M,0,N/A,N/A,12.0,43.0,14.0,16.0,20.0,12.0,10.0,12.0,9.0,8.0,55.0,20.0,20.0,15.0,20.0,10.0,10.0,,,,,,,,,,,,,,,,,60.0,25.0,30.0,35.0,15.0,10.0,25.0,24.0,28.0,30.0,23.0,23.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1086702092288,23.6758800760832,23.6758800760832,17.7569100570624,23.6758800760832,11.8379400380416,11.8379400380416
FE6,Juno,All,Falcoknight,F,0,N/A,N/A,9.0,33.0,11.0,14.0,16.0,14.0,8.0,12.0,7.0,8.0,50.0,20.0,35.0,30.0,45.0,10.0,10.0,,,,,,,,,,,,,,,,,60.0,30.0,30.0,30.0,12.0,20.0,30.0,23.0,25.0,28.0,24.0,28.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.382756428049994,21.753102571220005,38.06792949963499,32.62965385683,48.944480785245005,10.876551285610002,10.876551285610002
FE6,Yoder,All,Bishop,M,0,N/A,N/A,20.0,35.0,19.0,18.0,14.0,11.0,5.0,30.0,6.0,6.0,20.0,30.0,15.0,10.0,20.0,10.0,20.0,,,,,,,,,,,,,,,,,45.0,35.0,25.0,22.0,8.0,40.0,40.0,25.0,26.0,25.0,22.0,30.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.152962159411203,39.229443239116804,19.614721619558402,13.076481079705601,26.152962159411203,13.076481079705601,26.152962159411203
FE6,Karel,All,Swordmaster,M,0,N/A,N/A,19.0,44.0,20.0,28.0,23.0,18.0,15.0,13.0,9.0,6.0,210.0,130.0,140.0,140.0,120.0,110.0,100.0,,,,,,,,,,,,,,,,,65.0,20.0,30.0,30.0,15.0,12.0,25.0,24.0,29.0,30.0,22.0,23.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,130.0,140.0,140.0,120.0,110.0,100.0
FE6,Narcian,All,Wyvern Lord,M,0,N/A,N/A,10.0,46.0,16.0,13.0,16.0,13.0,20.0,12.0,11.0,8.0,85.0,50.0,10.0,10.0,30.0,10.0,5.0,,,,,,,,,,,,,,,,,75.0,40.0,30.0,20.0,20.0,7.0,20.0,26.0,26.0,23.0,30.0,22.0,21.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.20287163725757,51.88404213956328,10.376808427912657,10.376808427912657,31.13042528373797,10.376808427912657,5.1884042139563284
FE6,Galle,All,Wyvern Lord,M,0,N/A,N/A,18.0,49.0,22.0,15.0,13.0,11.0,22.0,14.0,12.0,8.0,40.0,20.0,20.0,15.0,30.0,30.0,5.0,,,,,,,,,,,,,,,,,75.0,40.0,30.0,20.0,20.0,7.0,20.0,26.0,26.0,23.0,30.0,22.0,21.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.000988819865604,23.500494409932802,23.500494409932802,17.6253708074496,35.2507416148992,35.2507416148992,5.8751236024832005
FE6,Hector,All,General,M,0,N/A,N/A,20.0,43.0,18.0,20.0,10.0,15.0,30.0,15.0,20.0,5.0,85.0,50.0,10.0,10.0,30.0,10.0,5.0,,,,,,,,,,,,,,,,,75.0,30.0,25.0,10.0,23.0,15.0,20.0,27.0,25.0,21.0,30.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.20287163725757,51.88404213956328,10.376808427912657,10.376808427912657,31.13042528373797,10.376808427912657,5.1884042139563284
FE6,Brunnya,All,Sage,F,0,N/A,N/A,20.0,38.0,23.0,18.0,18.0,17.0,18.0,25.0,6.0,6.0,85.0,50.0,10.0,10.0,30.0,10.0,5.0,,,,,,,,,,,,,,,,,45.0,45.0,30.0,25.0,10.0,25.0,15.0,30.0,28.0,25.0,20.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.20287163725757,51.88404213956328,10.376808427912657,10.376808427912657,31.13042528373797,10.376808427912657,5.1884042139563284
FE6,Eliwood,All,Paladin,M,0,N/A,N/A,20.0,48.0,25.0,20.0,22.0,14.0,24.0,15.0,11.0,8.0,60.0,20.0,30.0,35.0,25.0,15.0,5.0,,,,,,,,,,,,,,,,,70.0,25.0,30.0,18.0,12.0,17.0,25.0,25.0,28.0,25.0,25.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.75727216246,21.91909072082,32.87863608123,38.358408761435,27.398863401024997,16.439318040615,5.479772680205
FE6,Murdock,All,General,M,0,N/A,N/A,20.0,60.0,27.0,19.0,12.0,12.0,25.0,17.0,20.0,5.0,85.0,50.0,10.0,10.0,30.0,10.0,5.0,,,,,,,,,,,,,,,,,75.0,30.0,25.0,10.0,23.0,15.0,20.0,27.0,25.0,21.0,30.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.20287163725757,51.88404213956328,10.376808427912657,10.376808427912657,31.13042528373797,10.376808427912657,5.1884042139563284
FE6,Zephiel,All,King,M,0,N/A,N/A,20.0,60.0,24.0,20.0,14.0,15.0,22.0,24.0,17.0,5.0,85.0,50.0,10.0,10.0,30.0,10.0,5.0,,,,,,,,,,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.20287163725757,51.88404213956328,10.376808427912657,10.376808427912657,31.13042528373797,10.376808427912657,5.1884042139563284
FE6,Guinivere,All,Sage,F,0,N/A,N/A,20.0,29.0,24.0,24.0,23.0,24.0,13.0,25.0,5.0,6.0,60.0,20.0,30.0,35.0,25.0,15.0,5.0,,,,,,,,,,,,,,,,,45.0,45.0,30.0,25.0,10.0,25.0,15.0,30.0,28.0,25.0,20.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.75727216246,21.91909072082,32.87863608123,38.358408761435,27.398863401024997,16.439318040615,5.479772680205
FE6,Gonzalez,Larum's route,Brigand,M,8,Berserker,N/A,5.0,36.0,12.0,5.0,9.0,5.0,6.0,0.0,15.0,5.0,90.0,60.0,15.0,50.0,35.0,25.0,5.0,4.0,2.0,5.0,2.0,3.0,0.0,1.0,1.0,,,,,,,,,82.0,50.0,30.0,20.0,10.0,10.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,58.0,35.0,25.0,12.0,10.0,10.0,15.0,30.0,24.0,28.0,22.0,24.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,90.71415999875391,60.476106665835935,15.119026666458984,50.39675555486328,35.2777288884043,25.19837777743164,5.039675555486328
FE6,Gonzalez,Elffin's route,Brigand,M,8,Berserker,N/A,11.0,36.0,12.0,5.0,9.0,5.0,6.0,0.0,15.0,5.0,90.0,60.0,15.0,50.0,35.0,25.0,5.0,4.0,2.0,5.0,2.0,3.0,0.0,1.0,1.0,,,,,,,,,82.0,50.0,30.0,20.0,10.0,10.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,58.0,35.0,25.0,12.0,10.0,10.0,15.0,30.0,24.0,28.0,22.0,24.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,90.71415999875391,60.476106665835935,15.119026666458984,50.39675555486328,35.2777288884043,25.19837777743164,5.039675555486328
FE6,Hugh,Pay 10k gold,Mage,M,0,Sage,N/A,15.0,26.0,13.0,11.0,12.0,10.0,9.0,9.0,7.0,5.0,75.0,30.0,30.0,45.0,25.0,20.0,15.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,55.0,55.0,40.0,35.0,5.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,45.0,30.0,25.0,10.0,25.0,15.0,28.0,30.0,25.0,20.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,77.6656459126172,31.066258365046874,31.066258365046874,46.599387547570316,25.88854863753906,20.710838910031253,15.533129182523437
FE6,Hugh,Pay 8k gold,Mage,M,0,Sage,N/A,15.0,25.0,12.0,10.0,11.0,9.0,8.0,8.0,7.0,5.0,75.0,30.0,30.0,45.0,25.0,20.0,15.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,55.0,55.0,40.0,35.0,5.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,45.0,30.0,25.0,10.0,25.0,15.0,28.0,30.0,25.0,20.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,77.6656459126172,31.066258365046874,31.066258365046874,46.599387547570316,25.88854863753906,20.710838910031253,15.533129182523437
FE6,Hugh,Pay 6k gold,Mage,M,0,Sage,N/A,15.0,24.0,11.0,9.0,10.0,8.0,7.0,7.0,7.0,5.0,75.0,30.0,30.0,45.0,25.0,20.0,15.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,55.0,55.0,40.0,35.0,5.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,45.0,30.0,25.0,10.0,25.0,15.0,28.0,30.0,25.0,20.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,77.6656459126172,31.066258365046874,31.066258365046874,46.599387547570316,25.88854863753906,20.710838910031253,15.533129182523437
FE6,Hugh,Pay 5k gold,Mage,M,0,Sage,N/A,15.0,23.0,10.0,8.0,9.0,7.0,6.0,6.0,7.0,5.0,75.0,30.0,30.0,45.0,25.0,20.0,15.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,55.0,55.0,40.0,35.0,5.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,45.0,30.0,25.0,10.0,25.0,15.0,28.0,30.0,25.0,20.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,77.6656459126172,31.066258365046874,31.066258365046874,46.599387547570316,25.88854863753906,20.710838910031253,15.533129182523437
FE6,Perceval,Chapter 13,Paladin,M,0,N/A,N/A,5.0,43.0,17.0,13.0,18.0,12.0,14.0,11.0,12.0,8.0,75.0,30.0,25.0,35.0,20.0,20.0,10.0,,,,,,,,,,,,,,,,,70.0,25.0,30.0,18.0,12.0,17.0,25.0,25.0,28.0,25.0,25.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.86660547,31.546642187999996,26.28886849,36.804415885999994,21.031094792,21.031094792,10.515547396
FE6,Perceval,Chapter 15,Paladin,M,11,N/A,N/A,5.0,43.0,17.0,13.0,18.0,12.0,14.0,11.0,12.0,8.0,75.0,30.0,25.0,35.0,20.0,20.0,10.0,,,,,,,,,,,,,,,,,70.0,25.0,30.0,18.0,12.0,17.0,25.0,25.0,28.0,25.0,25.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.86660547,31.546642187999996,26.28886849,36.804415885999994,21.031094792,21.031094792,10.515547396
FE6,Cath,Chapter 12,Thief,F,9,N/A,N/A,5.0,16.0,3.0,7.0,11.0,8.0,2.0,1.0,5.0,6.0,80.0,40.0,45.0,85.0,50.0,15.0,20.0,,,,,,,,,,,,,,,,,45.0,5.0,45.0,40.0,5.0,20.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.27018639648001,40.13509319824001,45.151979848020005,85.28707304625999,50.1688664978,15.05065994934,20.067546599120003
FE6,Cath,Chapter 16,Thief,F,11,N/A,N/A,5.0,16.0,3.0,7.0,11.0,8.0,2.0,1.0,5.0,6.0,80.0,40.0,45.0,85.0,50.0,15.0,20.0,,,,,,,,,,,,,,,,,45.0,5.0,45.0,40.0,5.0,20.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.27018639648001,40.13509319824001,45.151979848020005,85.28707304625999,50.1688664978,15.05065994934,20.067546599120003
FE6,Cath,Chapter 20,Thief,F,13,N/A,N/A,5.0,16.0,3.0,7.0,11.0,8.0,2.0,1.0,5.0,6.0,80.0,40.0,45.0,85.0,50.0,15.0,20.0,,,,,,,,,,,,,,,,,45.0,5.0,45.0,40.0,5.0,20.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.27018639648001,40.13509319824001,45.151979848020005,85.28707304625999,50.1688664978,15.05065994934,20.067546599120003
FE6,Cath,Chapter 22,Thief,F,14,N/A,N/A,5.0,16.0,3.0,7.0,11.0,8.0,2.0,1.0,5.0,6.0,80.0,40.0,45.0,85.0,50.0,15.0,20.0,,,,,,,,,,,,,,,,,45.0,5.0,45.0,40.0,5.0,20.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.27018639648001,40.13509319824001,45.151979848020005,85.28707304625999,50.1688664978,15.05065994934,20.067546599120003
FE6,Klein,Chapter 11A (Larum's route),Sniper,M,9,N/A,N/A,1.0,27.0,13.0,13.0,11.0,10.0,8.0,6.0,7.0,6.0,60.0,35.0,40.0,45.0,50.0,15.0,25.0,,,,,,,,,,,,,,,,,65.0,30.0,30.0,20.0,15.0,15.0,30.0,24.0,30.0,29.0,22.0,23.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.685802247593756,35.983384644429684,41.1238681650625,46.26435168569532,51.40483520632812,15.421450561898439,25.70241760316406
FE6,Thea,Chapter 11A (Larum's route),Pegasus Knight,F,9,Falcoknight,N/A,8.0,22.0,6.0,8.0,11.0,3.0,7.0,6.0,5.0,7.0,60.0,40.0,45.0,55.0,40.0,15.0,20.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,65.0,35.0,40.0,40.0,12.0,25.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,60.0,30.0,30.0,30.0,12.0,20.0,30.0,23.0,25.0,28.0,24.0,28.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,61.489352695142394,40.9929017967616,46.1170145213568,56.3652399705472,40.9929017967616,15.372338173785598,20.4964508983808
FE6,Klein,Chapter 10B Elffin's route),Sniper,M,8,N/A,N/A,1.0,27.0,13.0,13.0,11.0,10.0,8.0,6.0,7.0,6.0,60.0,35.0,40.0,45.0,50.0,15.0,25.0,,,,,,,,,,,,,,,,,65.0,30.0,30.0,20.0,15.0,15.0,30.0,24.0,30.0,29.0,22.0,23.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.685802247593756,35.983384644429684,41.1238681650625,46.26435168569532,51.40483520632812,15.421450561898439,25.70241760316406
FE6,Thea,Chapter 10B Elffin's route),Pegasus Knight,F,8,Falcoknight,N/A,8.0,22.0,6.0,8.0,11.0,3.0,7.0,6.0,5.0,7.0,60.0,40.0,45.0,55.0,40.0,15.0,20.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,65.0,35.0,40.0,40.0,12.0,25.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,60.0,30.0,30.0,30.0,12.0,20.0,30.0,23.0,25.0,28.0,24.0,28.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,61.489352695142394,40.9929017967616,46.1170145213568,56.3652399705472,40.9929017967616,15.372338173785598,20.4964508983808
FE7,Lyn,Lyn's Tale,Lord (Lyn),F,0,Blade Lord,N/A,1.0,16.0,4.0,7.0,9.0,5.0,2.0,0.0,5.0,5.0,70.0,40.0,60.0,60.0,55.0,20.0,30.0,3.0,2.0,2.0,0.0,3.0,5.0,1.0,1.0,,,,,,,,,90.0,45.0,40.0,45.0,15.0,20.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,90.0,45.0,40.0,45.0,15.0,12.0,40.0,24.0,29.0,30.0,22.0,22.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,70.5117190930432,40.29241091031041,60.438616365465606,60.438616365465606,55.40206500167682,20.146205455155204,30.219308182732803
FE7,Sain,Lyn's Tale,Cavalier,M,0,Paladin,N/A,1.0,19.0,8.0,4.0,6.0,4.0,6.0,0.0,9.0,7.0,80.0,60.0,35.0,40.0,35.0,20.0,20.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,75.0,35.0,40.0,28.0,15.0,15.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,70.0,25.0,30.0,18.0,12.0,20.0,25.0,25.0,26.0,24.0,25.0,25.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,81.05181277061119,60.7888595779584,35.4601680871424,40.525906385305596,35.4601680871424,20.262953192652798,20.262953192652798
FE7,Kent,Lyn's Tale,Cavalier,M,0,Paladin,N/A,1.0,20.0,6.0,6.0,7.0,2.0,5.0,1.0,9.0,7.0,85.0,40.0,50.0,45.0,20.0,25.0,25.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,75.0,35.0,40.0,28.0,15.0,15.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,70.0,25.0,30.0,18.0,12.0,20.0,25.0,25.0,26.0,24.0,25.0,25.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,85.95723123203125,40.45046175625,50.5630771953125,45.50676947578125,20.225230878125,25.28153859765625,25.28153859765625
FE7,Florina,Lyn's Tale,Pegasus Knight,F,0,Falcoknight,N/A,1.0,17.0,5.0,7.0,9.0,7.0,4.0,4.0,4.0,7.0,60.0,40.0,50.0,55.0,50.0,15.0,35.0,5.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,,,,,,,,,65.0,35.0,40.0,40.0,12.0,35.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,60.0,30.0,30.0,30.0,12.0,30.0,30.0,23.0,25.0,28.0,23.0,26.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,60.908401908375,40.605601272250006,50.7570015903125,55.83270174934375,50.7570015903125,15.22710047709375,35.52990111321875
FE7,Wil,Lyn's Tale,Archer,M,0,Sniper,N/A,2.0,20.0,6.0,5.0,5.0,6.0,5.0,0.0,6.0,5.0,75.0,50.0,50.0,40.0,40.0,20.0,25.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,,70.0,35.0,40.0,32.0,15.0,15.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,65.0,30.0,30.0,20.0,15.0,20.0,30.0,25.0,30.0,28.0,25.0,23.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,76.02616875,50.6841125,50.6841125,40.547290000000004,40.547290000000004,20.273645000000002,25.34205625
FE7,Dorcas,Lyn's Tale,Fighter,M,0,Warrior,N/A,3.0,30.0,7.0,7.0,6.0,3.0,3.0,0.0,14.0,5.0,80.0,60.0,40.0,20.0,45.0,25.0,15.0,3.0,1.0,2.0,0.0,3.0,3.0,2.0,1.0,,,,,,,,,85.0,55.0,35.0,30.0,15.0,15.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,80.0,45.0,25.0,20.0,16.0,17.0,15.0,30.0,28.0,26.0,26.0,22.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,81.09162234368,60.81871675776001,40.54581117184,20.27290558592,45.61403756832,25.3411319824,15.204679189440002
FE7,Serra,Lyn's Tale,Cleric,F,0,Bishop,N/A,1.0,17.0,2.0,5.0,8.0,6.0,2.0,5.0,4.0,5.0,50.0,50.0,30.0,40.0,60.0,15.0,55.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,50.0,30.0,35.0,32.0,8.0,50.0,45.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,35.0,25.0,22.0,8.0,50.0,40.0,25.0,25.0,26.0,21.0,30.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,50.816154211249994,50.816154211249994,30.489692526749995,40.652923369,60.97938505349999,15.244846263374997,55.897769632375
FE7,Erk,Lyn's Tale,Mage,M,0,Sage,N/A,1.0,17.0,5.0,6.0,7.0,3.0,2.0,4.0,5.0,5.0,65.0,40.0,40.0,50.0,30.0,20.0,40.0,4.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,,,,,,,,,55.0,55.0,40.0,35.0,5.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,45.0,30.0,25.0,10.0,40.0,15.0,28.0,30.0,26.0,21.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,66.40504547456,40.86464336896,40.86464336896,51.080804211200004,30.648482526719995,20.43232168448,40.86464336896
